word,pos,level,mp3_url
alone,adverb,a2,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/alo/alone/alone__gb_1.mp3
along,adverb,a2,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/alo/along/along__gb_1.mp3
along,preposition,a2,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/alo/along/along__gb_1.mp3
alongside,preposition,b2,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/alo/along/alongside__gb_1.mp3
already,adverb,a2,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/alr/alrea/already__gb_1.mp3
also,adverb,a1,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/als/also_/also__gb_1.mp3
alter,verb,b2,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/alt/alter/alter__gb_1.mp3
alternative,adjective,b1,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/alt/alter/alternative__gb_3.mp3
alternative,noun,a2,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/alt/alter/alternative__gb_3.mp3
although,conjunction,a2,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/alt/altho/although__gb_3.mp3
altogether,adverb,b2,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/alt/altog/altogether__gb_1.mp3
aluminium,noun,c1,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/alu/alumi/aluminium__gb_1.mp3
always,adverb,a1,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/alw/alway/always__gb_1.mp3
amateur,adjective,c1,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/ama/amate/amateur__gb_1.mp3
amateur,noun,c1,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/ama/amate/amateur__gb_1.mp3
amazed,adjective,b1,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/ama/amaze/amazed__gb_1.mp3
amazing,adjective,a1,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/ama/amazi/amazing__gb_1.mp3
ambassador,noun,c1,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/amb/ambas/ambassador__gb_1.mp3
ambition,noun,b1,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/amb/ambit/ambition__gb_1.mp3
ambitious,adjective,b1,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/amb/ambit/ambitious__gb_1.mp3
ambulance,noun,b2,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/amb/ambul/ambulance__gb_5.mp3
amend,verb,c1,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/ame/amend/amend__gb_2.mp3
amendment,noun,c1,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/ame/amend/amendment__gb_1.mp3
amid,preposition,c1,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/ami/amid_/amid__gb_1.mp3
among,preposition,a2,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/amo/among/among__gb_1.mp3
amount,noun,a2,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/amo/amoun/amount__gb_2.mp3
amount,verb,b2,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/amo/amoun/amount__gb_2.mp3
amusing,adjective,b2,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/amu/amusi/amusing__gb_1.mp3
analogy,noun,c1,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/ana/analo/analogy__gb_2.mp3
analyse,verb,b1,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/ana/analy/analyse__gb_6.mp3
analysis,noun,b1,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/ana/analy/analysis__gb_4.mp3
analyst,noun,b2,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/ana/analy/analyst__gb_1.mp3
ancestor,noun,b2,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/anc/ances/ancestor__gb_4.mp3
anchor,noun,c1,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/anc/ancho/anchor__gb_1.mp3
ancient,adjective,a2,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/anc/ancie/ancient__gb_2.mp3
and,conjunction,a1,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/and/and__/and__gb_1.mp3
angel,noun,c1,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/ang/angel/angel__gb_1.mp3
